ID,Latitude,Longitude,poids_dechets
4124512837,14.7119652,-17.4575558,5.4
4124517514,14.7111715,-17.4568649,5.4
4124517515,14.7108354,-17.4570991,5.4
4124517516,14.7101548,-17.4577036,5.4
4128467803,14.7147964,-17.4552403,5.4
4128479436,14.7168914,-17.4556123,5.4
4128479759,14.7144319,-17.4554081,5.4
4128479764,14.7190089,-17.4566694,5.4
4128480096,14.715473,-17.4551604,5.4
4128480111,14.7216687,-17.4578184,5.4
4128480492,14.7173104,-17.4558258,5.4
4128480750,14.7209841,-17.4569645,5.4
4128480754,14.7224932,-17.4577944,5.4
4128480755,14.7229585,-17.4577565,5.4
4128480989,14.7214157,-17.4571813,5.4
4128645690,14.7020623,-17.4571955,5.4
4128799191,14.7227854,-17.4579551,5.4
4128799205,14.7230182,-17.4577641,5.4
4136965615,14.7060146,-17.4666714,5.4
4149524077,14.7212065,-17.4704589,5.4
4165381193,14.7014518,-17.4555634,5.4
4165426300,14.7023138,-17.4571607,5.4
4165426306,14.7021116,-17.457653,5.4
4178185370,14.7400525,-17.4599416,5.4
4207083989,14.7357593,-17.4558313,5.4
4212494597,14.7100533,-17.4599497,5.4
4221286828,14.7309984,-17.4679576,5.4
4221673152,14.7393978,-17.4672699,5.4
4223632692,14.7345442,-17.440939,5.4
4227087547,14.6983097,-17.462209,5.4
4227132465,14.7259896,-17.4510485,5.4
4233521292,14.7010602,-17.4713554,5.4
4233539490,14.7300911,-17.4359021,5.4
4233935024,14.7492913,-17.4642449,5.4
4239921589,14.7268485,-17.4701777,5.4
4247004547,14.6977366,-17.4569501,5.4
4247004548,14.6973614,-17.4572519,5.4
4247004549,14.6979366,-17.467322,5.4
4247031708,14.7064414,-17.460453,5.4
4247031710,14.7057423,-17.4611352,5.4
4247031711,14.7016482,-17.4557571,5.4
4256185334,14.7005736,-17.4620202,5.4
4257063142,14.715406,-17.4704331,5.4
4259611441,14.752811,-17.4543954,5.4
4259611462,14.7524849,-17.454532,5.4
4264165692,14.7165229,-17.47078,5.4
4264371534,14.7229126,-17.4703074,5.4
4264632723,14.7281047,-17.4460492,5.4
4270104980,14.7204037,-17.4609965,5.4
4290879797,14.745187,-17.4445855,5.4
4299360090,14.7237096,-17.4611201,5.4
4302168090,14.712873,-17.4513002,5.4
4323154373,14.7392854,-17.471195,5.4
4323273419,14.7272036,-17.4431709,5.4
4337363526,14.7230277,-17.4461754,5.4
4337470062,14.7380824,-17.464675,5.4
4337498065,14.7198,-17.4499601,5.4
4337498066,14.7200435,-17.4491281,5.4
4339623526,14.7504569,-17.4641782,5.4
4339638604,14.7044367,-17.4694348,5.4
